round of level0,round of level1,round of level2,round of level3,butterknife cycles,eden cycles
7,1,4,5,6180.405390,5823.990240
7,1,4,6,6219.002310,6437.039330
7,1,4,7,6235.421090,7022.155160
7,1,4,8,6189.976660,7647.335830
7,2,1,5,6176.770560,4973.414500
7,2,1,6,6160.112590,5586.256800
7,2,1,7,6193.160390,6248.862610
7,2,1,8,6198.954260,6829.491490
7,2,2,5,6221.411040,5294.650170
7,2,2,6,6173.805700,5929.388870
7,2,2,7,6199.636660,6559.873930
7,2,2,8,6205.170690,7205.004180
7,2,3,5,6200.800120,5644.240280
7,2,3,6,6220.799430,6261.101760
7,2,3,7,6218.289040,6874.803970
7,2,3,8,6214.543560,7496.266070
7,2,4,5,6197.248160,5991.215310
7,2,4,6,6183.967720,6613.662000
7,2,4,7,6203.478620,7235.118770
7,2,4,8,6195.885680,7847.270670
7,3,1,5,6202.091130,5133.945760
7,3,1,6,6178.571250,5789.183130
7,3,1,7,6207.451390,6431.544640
7,3,1,8,6200.236370,7043.612140
7,3,2,5,6185.172660,5517.374710
7,3,2,6,6201.812260,6144.110770
7,3,2,7,6149.468600,6752.728720
7,3,2,8,6191.580150,7340.477350
7,3,3,5,6204.440830,5821.248940
7,3,3,6,6219.046340,6483.951500
7,3,3,7,6230.442660,7091.010600
7,3,3,8,6189.689620,7703.774180
7,3,4,5,6192.412620,6201.166160
7,3,4,6,6210.673510,6809.000390
7,3,4,7,6187.728950,7429.513160
7,3,4,8,6213.862130,8011.830640
7,4,1,5,6220.347110,5393.830900
7,4,1,6,6171.366390,5983.374450
7,4,1,7,6187.331080,6638.336120
7,4,1,8,6200.451100,7216.670480
7,4,2,5,6178.141070,5705.370030
7,4,2,6,6184.584630,6322.578060
7,4,2,7,6205.434240,6954.134520
7,4,2,8,6208.645730,7563.225120
7,4,3,5,6195.465530,6009.531320
7,4,3,6,6199.468350,6658.390810
7,4,3,7,6171.732330,7285.129480
7,4,3,8,6208.253480,7905.941970
7,4,4,5,6206.479470,6406.892880
7,4,4,6,6194.034400,7004.302930
7,4,4,7,6197.211110,7614.919410
7,4,4,8,6187.895780,8288.379310
